CandidateId,InterviewID,Gender,SchedulingDay,InterviewDay,Candidate Current Location,Candidate Job Location,Interview Venue,Candidate Native location,JobVsNative,Have you obtained the necessary permission to start at the required time,Hope there will be no unscheduled meetings,Can I Call you three hours before the interview and follow up on your attendance for the interview,Can I have an alternative number/ desk number. I assure you that I will not trouble you too much,Have you taken a printout of your updated resume. Have you read the JD and understood the same,Are you clear with the venue details and the landmark.,Has the call letter been shared,Confirmed,Attended
1,5642903,F,2016-04-29T18:38:08Z,2016-04-29T00:00:00Z,Chennai,Hosur,Hosur,Hosur,TRUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
2,5642503,M,2016-04-29T16:08:27Z,2016-04-29T00:00:00Z,Chennai,Bangalore,Hosur,Trichy,FALSE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
3,5642549,F,2016-04-29T16:19:04Z,2016-04-29T00:00:00Z,Chennai,Chennai,Hosur,Chennai,TRUE,NA,Na,NA,NA,NA,NA,NA,No,Yes
4,5642828,F,2016-04-29T17:29:31Z,2016-04-29T00:00:00Z,Chennai,Chennai,Hosur,Chennai,TRUE,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes
5,5642494,F,2016-04-29T16:07:23Z,2016-04-29T00:00:00Z,Chennai,Bangalore,Hosur,Chennai,FALSE,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes
6,5626772,F,2016-04-27T08:36:51Z,2016-04-29T00:00:00Z,Gurgaon,Gurgaon,Gurgaon,Gurgaon,TRUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
7,5630279,F,2016-04-27T15:05:12Z,2016-04-30T00:00:00Z,Gurgaon,Gurgaon,Gurgaon,Gurgaon,TRUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
8,5630575,F,2016-04-27T15:39:58Z,2016-04-30T00:00:00Z,Gurgaon,Gurgaon,Gurgaon,Noida,FALSE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
9,5638447,F,2016-04-29T08:02:16Z,2016-04-29T00:00:00Z,Gurgaon,Gurgaon,Gurgaon,Delhi /NCR,FALSE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
10,5629123,F,2016-04-27T12:48:25Z,2016-04-29T00:00:00Z,Gurgaon,Gurgaon,Gurgaon,Delhi /NCR,FALSE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
11,5630213,F,2016-04-27T14:58:11Z,2016-04-29T00:00:00Z,Bangalore,Bangalore,Bangalore,Cochin,FALSE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
12,5620163,M,2016-04-26T08:44:12Z,2016-05-04T00:00:00Z,Bangalore,Bangalore,Bangalore,Trivandrum,FALSE,No,Yes,No,No,Yes,Yes,Yes,No,No
13,5634718,F,2016-04-28T11:33:51Z,2016-04-29T00:00:00Z,Bangalore,Bangalore,Bangalore,Bangalore,TRUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
14,5636249,M,2016-04-28T14:52:07Z,2016-04-29T00:00:00Z,Bangalore,Bangalore,Bangalore,Trivandrum,FALSE,No,Yes,Yes,Yes,Yes,Yes,Havent Checked,Yes,Yes
15,5633951,F,2016-04-28T10:06:24Z,2016-04-29T00:00:00Z,Bangalore,Bangalore,Bangalore,Cochin,FALSE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
16,5620206,F,2016-04-26T08:47:27Z,2016-04-29T00:00:00Z,Bangalore,Bangalore,Bangalore,Cochin,FALSE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
17,5633121,M,2016-04-28T08:51:47Z,2016-04-29T00:00:00Z,Bangalore,Bangalore,Bangalore,Trivandrum,FALSE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
18,5633460,F,2016-04-28T09:28:57Z,2016-05-02T00:00:00Z,Bangalore,Bangalore,Bangalore,Bangalore,TRUE,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
19,5621836,F,2016-04-26T10:54:18Z,2016-04-29T00:00:00Z,Bangalore,Bangalore,Bangalore,Cochin,FALSE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
20,5640433,F,2016-04-29T10:43:14Z,2016-04-29T00:00:00Z,Bangalore,Bangalore,Bangalore,Cochin,FALSE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
21,5626083,F,2016-04-27T07:51:14Z,2016-05-03T00:00:00Z,Bangalore,Bangalore,Bangalore,Trivandrum,FALSE,Not yet,Yes,Yes,Yes,Yes,Yes,No,No,No
22,5628338,F,2016-04-27T10:50:45Z,2016-05-03T00:00:00Z,Bangalore,Bangalore,Bangalore,Trivandrum,FALSE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
23,5616091,M,2016-04-25T13:29:16Z,2016-05-05T00:00:00Z,Bangalore,Bangalore,Bangalore,Cochin,FALSE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
24,5634142,F,2016-04-28T10:27:05Z,2016-04-29T00:00:00Z,Bangalore,Bangalore,Bangalore,Cochin,FALSE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
25,5641780,F,2016-04-29T14:19:19Z,2016-04-29T00:00:00Z,Bangalore,Bangalore,Bangalore,Trivandrum,FALSE,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes
26,5624020,M,2016-04-26T15:04:17Z,2016-04-29T00:00:00Z,Bangalore,Bangalore,Bangalore,Cochin,FALSE,No,No,Yes,Yes,Yes,Yes,No,No,Yes
27,5641781,F,2016-04-29T14:19:42Z,2016-04-29T00:00:00Z,Bangalore,Bangalore,Bangalore,Bangalore,TRUE,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
28,5628345,F,2016-04-27T10:51:45Z,2016-04-29T00:00:00Z,Bangalore,Bangalore,Bangalore,Bangalore,TRUE,No,Yes,Yes,Yes,No,Yes,No,No,Yes
29,5642400,M,2016-04-29T15:48:02Z,2016-04-29T00:00:00Z,Chennai,Chennai,Chennai,Chennai,TRUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
30,5642186,F,2016-04-29T15:16:29Z,2016-04-29T00:00:00Z,Chennai,Chennai,Chennai,Chennai,TRUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
31,5628068,F,2016-04-27T10:24:52Z,2016-04-29T00:00:00Z,Chennai,Chennai,Chennai,Chennai,TRUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
